#fileName	intercept	slope	chi2/ndof
20488	-0.0000227383	0.0000007670	1.6005301580
20489	-0.0000234440	0.0000007838	1.1043011246
20490	-0.0000226160	0.0000007524	1.2645649780
20491	-0.0000230412	0.0000007693	1.0172637375
20492	-0.0000232646	0.0000007722	1.2932733980
20493	-0.0000228911	0.0000007631	1.7468475778
20494	-0.0000236314	0.0000007788	1.7262388303
20495	-0.0000231720	0.0000007644	2.0546903063
20496	-0.0000239189	0.0000007632	1.7282774057
20497	-0.0000234383	0.0000007678	2.0808178625
20498	-0.0000234888	0.0000007670	1.2892602776
20499	-0.0000235725	0.0000007683	1.2636175815
20500	-0.0000238409	0.0000007805	1.4598910987
20501	-0.0000231142	0.0000007493	2.3115791891
20502	-0.0000239751	0.0000007758	1.9456293926
20503	-0.0000235810	0.0000007611	1.7540736058
20504	-0.0000241141	0.0000007750	1.9069105708
20505	-0.0000241859	0.0000007760	1.8427227058
20506	-0.0000234429	0.0000007531	1.9913526970
20507	-0.0000239111	0.0000007669	1.9937809870
20508	-0.0000238747	0.0000007614	1.3598541175
20509	-0.0000240295	0.0000007660	2.2675794195
20510	-0.0000239177	0.0000007623	1.1087772473
20511	-0.0000238453	0.0000007558	1.5197189011
20512	-0.0000242376	0.0000007689	1.9307258859
20513	-0.0000240058	0.0000007604	1.9448042491
20514	-0.0000242291	0.0000007663	1.8923543847
20515	-0.0000243031	0.0000007671	1.3211063818
20516	-0.0000245391	0.0000007713	1.3111520367
20517	-0.0000246031	0.0000007707	0.9328187018
20518	-0.0000242631	0.0000007605	1.3538348047
20519	-0.0000231631	0.0000007708	1.2393281198
20520	-0.0000229875	0.0000007644	1.0509363463
20521	-0.0000234255	0.0000007741	2.2876652098
20522	-0.0000232173	0.0000007673	1.6596102698
20523	-0.0000233777	0.0000007692	1.1839729823
20524	-0.0000234478	0.0000007727	1.2207087733
20525	-0.0000232292	0.0000007634	1.9467523931
20526	-0.0000234668	0.0000007678	1.8727082105
20527	-0.0000235967	0.0000007701	1.3575222551
20528	-0.0000239271	0.0000007782	1.4870067430
20529	-0.0000234307	0.0000007600	1.4685889877
20530	-0.0000233969	0.0000007568	2.2526309845
20531	-0.0000239798	0.0000007751	1.3338467609
20532	-0.0000234277	0.0000007535	1.4104641701
20533	-0.0000238576	0.0000007674	1.3292604345
20534	-0.0000238473	0.0000007651	2.3236433381
20535	-0.0000239802	0.0000007691	2.0997310119
20536	-0.0000242993	0.0000007742	2.2540369914
20537	-0.0000242726	0.0000007758	1.4829563069
20538	-0.0000242639	0.0000007732	1.8263553075
20539	-0.0000229432	0.0000007764	1.0063467930
20540	-0.0000224769	0.0000007604	2.4024483946
20541	-0.0000229205	0.0000007698	0.9666270880
20542	-0.0000232508	0.0000007828	1.5966476111
20543	-0.0000226591	0.0000007591	2.6091382256
20544	-0.0000228283	0.0000007630	1.0022426601
20545	-0.0000226702	0.0000007601	1.1568875564
20546	-0.0000228535	0.0000007608	1.5255660648
20547	-0.0000228754	0.0000007617	2.3028588298
20548	-0.0000229802	0.0000007611	2.2250316523
20549	-0.0000231512	0.0000007651	1.3208966771
20550	-0.0000230106	0.0000007592	1.7669065871
20551	-0.0000234254	0.0000007682	1.6278768792
20552	-0.0000230343	0.0000007585	1.2694075636
20553	-0.0000234620	0.0000007697	2.3821003596
20554	-0.0000234996	0.0000007676	1.7142821722
20555	-0.0000237310	0.0000007709	0.8439245551
20556	-0.0000234014	0.0000007586	1.4031025178
20557	-0.0000233757	0.0000007597	1.6555080855
20558	-0.0000236781	0.0000007659	1.0507541364
20559	-0.0000229507	0.0000007646	1.9002253969
20560	0.0000690452	-0.0000022884	2.0943483118
20561	-0.0000229444	0.0000007597	1.8189408550
20562	-0.0000230453	0.0000007645	1.5336974943
20563	-0.0000232370	0.0000007662	1.4842038548
20564	-0.0000233433	0.0000007675	2.3895897714
20565	-0.0000230655	0.0000007564	1.3759610850
20566	-0.0000230994	0.0000007595	1.2377003615
20567	-0.0000231037	0.0000007577	1.4491805745
20568	-0.0000233052	0.0000007626	1.1163891466
20569	0.0006515700	-0.0000211724	inf
20570	-0.0000234497	0.0000007629	1.5307079745
20571	-0.0000235154	0.0000007596	1.2295963920
20572	-0.0000237555	0.0000007690	1.4783876457
20573	-0.0000238602	0.0000007686	1.2900021474
20574	-0.0000237557	0.0000007649	1.8304807764
20575	-0.0000234878	0.0000007547	1.9391933576
20576	-0.0000218091	0.0000007524	1.4566622720
20577	-0.0000237114	0.0000007589	1.9573402728
20578	-0.0000236061	0.0000007526	1.4724155721
